Time,FPR
0,0.0
1,2.0669698222405953e-05
2,4.265483705852244e-05
3,2.2059958968476317e-05
4,4.569339730408956e-05
5,4.712979545668772e-05
6,4.879000780640125e-05
7,0.00012589067653649572
8,7.808026651397637e-05
9,8.08865162177465e-05
10,5.592841163310962e-05
11,8.56384345294168e-05
12,0.00014953047431066452
13,0.00015317688867103732
14,3.1771247021445594e-05
15,3.2866627226713995e-05
16,0.0002032658039162545
17,7.01508242721852e-05
18,0.00014414414414414415
19,7.517383950385266e-05
20,0.00011640540121061617
21,0.00031925931838135526
22,0.00016503011799653437
23,8.505932888189512e-05
24,8.850340738118418e-05
25,0.00031702898550724635
26,0.00014029180695847364
27,0.00019482733427499878
28,0.00020164339365831528
29,0.00010450958875476824
30,0.00010800302408467438
31,0.00011120378092855157
32,0.00011480397221743872
33,0.00011832919181161993
34,0.00018357606168155672
35,0.0004430379746835443
36,0.00032769694586446454
37,0.00026961445133459155
38,0.000346860908775581
39,0.00043661766846165044
40,0.00022153300841825432
41,0.00038402457757296467
42,0.00016052652700858816
43,8.300132802124833e-05
44,0.0002530150965674285
45,0.0005276116778051355
46,0.00046356387910254034
47,0.0003779646603042616
48,0.0006804704967434626
49,0.00039781203381402286
